id,length (px),length (um),chains,chain lengths (px),chain lengths (um)
0,18.071067811865476,3.072081528017131,2,"[3.828427124746191, 14.242640687119284]",[0.65083261 2.42124892]
1,56.87005768508879,9.667909806465095,2,"[23.727922061357845, 33.142135623730944]",[4.03374675 5.63416306]
2,50.87005768508887,8.647909806465108,1,[50.87005768508887],[8.64790981]
3,19.970562748477132,3.394995667241113,2,"[2.8284271247461907, 17.14213562373094]",[0.48083261 2.91416306]
4,35.97056274847714,6.114995667241114,1,[35.97056274847714],[6.11499567]
5,51.94112549695424,8.829991334482221,2,"[30.213203435596398, 21.72792206135784]",[5.13624458 3.69374675]
6,29.55634918610403,5.024579361637685,2,"[17.31370849898475, 12.242640687119282]",[2.94333044 2.08124892]
7,44.384776310850214,7.545411972844537,2,"[33.55634918610403, 10.828427124746186]",[5.70457936 1.84083261]
8,41.52691193458115,7.059575028878796,2,"[16.14213562373094, 25.384776310850214]",[2.74416306 4.31541197]
9,56.0416305603426,9.527077195258242,2,"[33.556349186104036, 22.48528137423856]",[5.70457936 3.82249783]
10,38.0416305603426,6.467077195258242,2,"[19.72792206135784, 18.313708498984752]",[3.35374675 3.11333044]
11,15.899494936611658,2.702914139223982,1,[15.899494936611658],[2.70291414]
12,28.89949493661166,4.912914139223982,2,"[8.656854249492381, 20.24264068711928]",[1.47166522 3.44124892]
13,34.6274169979695,5.886660889654815,2,"[25.798989873223306, 8.82842712474619]",[4.38582828 1.50083261]
14,24.899494936611653,4.232914139223982,1,[24.899494936611653],[4.23291414]
15,23.142135623730933,3.934163056034259,1,[23.142135623730933],[3.93416306]
16,37.6274169979695,6.396660889654815,2,"[7.2426406871192865, 30.38477631085021]",[1.23124892 5.16541197]
17,38.97056274847712,6.624995667241111,2,"[23.142135623730933, 15.828427124746186]",[3.93416306 2.69083261]
